Voltage,Current
2.220660903,0.0002
2.221887493,0.0002
2.224340673,0.0002
2.229247033,0.0002
2.239059753,0.0002
2.258685194,0.0002
2.297936075,0.0002
2.376437837,0.0002
2.533441361,0.0002
2.847448408,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317158,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.700488629,-0.000143255
-1.135852998,-0.000240881
-1.647065527,-3.33E-06
-1.754756513,-4.36E-06
-1.970138486,-7.48E-06
-2.40090243,-2.20E-05
-3,-9.82E-05
-2.996873958,-9.74E-05
-2.990621875,-9.59E-05
-2.978117708,-9.29E-05
-2.953109375,-8.73E-05
-2.903092708,-7.71E-05
-2.803059375,-6.00E-05
